Date,WORLD ex USA Standard (Large+Mid Cap) 
12/31/1990,757.359
01/31/1991,779.209
02/28/1991,859.958
03/29/1991,809.081
04/30/1991,815.954
05/31/1991,824.57
06/28/1991,764.93
07/31/1991,800.016
08/30/1991,783.342
09/30/1991,823.429
10/31/1991,835.06
11/29/1991,795.888
12/31/1991,833.598
01/31/1992,815.939
02/28/1992,786.343
03/31/1992,733.691
04/30/1992,735.161
05/29/1992,781.106
06/30/1992,744.413
07/31/1992,725.581
08/31/1992,766.648
09/30/1992,748.266
10/30/1992,710.045
11/30/1992,713.82
12/31/1992,716.885
01/29/1993,715.253
02/26/1993,736.598
03/31/1993,798.02
04/30/1993,870.824
05/31/1993,888.387
06/30/1993,873.661
07/30/1993,902.017
08/31/1993,947.353
09/30/1993,923.98
10/29/1993,953.63
11/30/1993,871.488
12/31/1993,932.742
01/31/1994,1009.087
02/28/1994,1003.332
03/31/1994,958.949
04/29/1994,996.555
05/31/1994,990.13
06/30/1994,1000.302
07/29/1994,1010.061
08/31/1994,1034.023
09/30/1994,1002.571
10/31/1994,1032.824
11/30/1994,981.355
12/30/1994,986.733
01/31/1995,946.505
02/28/1995,944.53
03/31/1995,1001.368
04/28/1995,1036.886
05/31/1995,1025.071
06/30/1995,1006.992
07/31/1995,1066.53
08/31/1995,1025.979
09/29/1995,1043.675
10/31/1995,1014.932
11/30/1995,1042.138
12/29/1995,1081.499
01/31/1996,1086.464
02/29/1996,1088.194
03/29/1996,1109.787
04/30/1996,1141.129
05/31/1996,1120.181
06/28/1996,1123.581
07/31/1996,1089.2
08/30/1996,1091.837
09/30/1996,1119.931
10/31/1996,1110.963
11/29/1996,1155.257
12/31/1996,1137.719
01/31/1997,1100.823
02/28/1997,1116.052
03/31/1997,1115.685
04/30/1997,1121.061
05/30/1997,1193.464
06/30/1997,1255.692
07/31/1997,1277.299
08/29/1997,1181.749
09/30/1997,1246.601
10/31/1997,1151.047
11/28/1997,1136.677
12/31/1997,1146.026
01/30/1998,1193.399
02/27/1998,1269.585
03/31/1998,1309.744
04/30/1998,1318.353
05/29/1998,1309.946
