Date,Open,High,Low,Close,Volume,Adj Close
2015-05-04,2110.22998,2120.94995,2067.92993,2116.1001,3550764000,2116.1001
2015-04-27,2119.29004,2125.91992,2077.59009,2108.29004,3789812000,2108.29004
2015-04-20,2084.11011,2120.91992,2084.11011,2117.68994,3320900000,2117.68994
2015-04-13,2102.03003,2111.90991,2072.37012,2081.17993,3457034000,2081.17993
2015-04-06,2064.87012,2102.61011,2056.52002,2102.06006,2668474000,2102.06006
2015-03-30,2064.11011,2088.96997,2048.37988,2066.95996,3233367500,2066.95996
2015-03-23,2107.98999,2114.86011,2045.50,2061.02002,3299628000,2061.02002
2015-03-16,2055.3501,2113.91992,2055.3501,2108.1001,3900998000,2108.1001
2015-03-09,2072.25,2083.48999,2039.68994,2053.3999,3465796000,2053.3999
2015-03-02,2105.22998,2117.52002,2067.27002,2071.26001,3409900000,2071.26001
2015-02-23,2109.83008,2119.59009,2103.00,2104.50,3312386000,2104.50
2015-02-17,2096.46997,2110.61011,2085.43994,2110.30005,3315117500,2110.30005
2015-02-09,2053.46997,2097.03003,2041.88,2096.98999,3626410000,2096.98999
2015-02-02,1996.67004,2072.3999,1980.90002,2055.46997,4164222000,2055.46997
2015-01-26,2050.41992,2057.62012,1989.18005,1994.98999,3905778000,1994.98999
2015-01-20,2020.76001,2064.62012,2004.48999,2051.82007,3856005000,2051.82007
2015-01-12,2046.13,2056.92993,1988.12,2019.42004,4055114000,2019.42004
2015-01-05,2054.43994,2064.42993,1992.43994,2044.81006,3872572000,2044.81006
2014-12-29,2087.62988,2093.55005,2046.04004,2058.19995,2551852500,2058.19995
2014-12-22,2069.28003,2092.69995,2069.28003,2088.77002,2391420000,2088.77002
2014-12-15,2005.03003,2077.8501,1972.56006,2070.6499,5086390000,2070.6499
2014-12-08,2074.84009,2075.78003,2002.32996,2002.32996,3992236000,2002.32996
2014-12-01,2065.78003,2079.46997,2049.57007,2075.37012,3657260000,2075.37012
2014-11-24,2065.07007,2075.76001,2064.75,2067.56006,2942725000,2067.56006
2014-11-17,2038.29004,2071.45996,2034.45996,2063.50,3400928000,2063.50
2014-11-10,2032.01001,2046.18005,2030.17004,2039.81995,3234462000,2039.81995
2014-11-03,2018.20996,2034.26001,2001.01001,2031.92004,3730468000,2031.92004
