Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,2087.37988,2120.94995,2067.92993,2116.1001,4088775000,2116.1001
2015-04-01,2067.62988,2125.91992,2048.37988,2085.51001,3521458000,2085.51001
2015-03-02,2105.22998,2117.52002,2039.68994,2067.88989,3638745400,2067.88989
2015-02-02,1996.67004,2119.59009,1980.90002,2104.50,3806470500,2104.50
2015-01-02,2058.8999,2072.36011,1988.12,1994.98999,4091934500,1994.98999
2014-12-01,2065.78003,2093.55005,1972.56006,2058.8999,3788631300,2058.8999
2014-11-03,2018.20996,2075.76001,2001.01001,2067.56006,3479201500,2067.56006
2014-10-01,1971.43994,2018.18994,1820.66003,2018.05005,4260310800,2018.05005
2014-09-02,2004.06995,2019.26001,1964.04004,1972.29004,3364623800,1972.29004
2014-08-01,1929.80005,2005.04004,1904.78003,2003.37,2875718500,2003.37
2014-07-01,1962.29004,1991.39001,1930.67004,1930.67004,3214440400,1930.67004
2014-06-02,1923.87,1968.17004,1915.97998,1960.22998,3158130000,1960.22998
2014-05-01,1884.39001,1924.03003,1859.79004,1923.56995,3185100900,1923.56995
2014-04-01,1873.95996,1897.28003,1814.35999,1883.94995,3589287600,1883.94995
2014-03-03,1857.68005,1883.96997,1834.43994,1872.33997,3579015700,1872.33997
2014-02-03,1782.68005,1867.92004,1737.92004,1859.44995,3875949400,1859.44995
2014-01-02,1845.85999,1850.83997,1770.44995,1782.58997,3806266600,1782.58997
2013-12-02,1806.55005,1849.43994,1767.98999,1848.35999,3203412300,1848.35999
2013-11-01,1758.69995,1813.55005,1746.19995,1805.81006,3261324500,1805.81006
2013-10-01,1682.41003,1775.21997,1646.46997,1756.54004,3498866500,1756.54004
2013-09-03,1635.94995,1729.85999,1633.41003,1681.55005,3474152000,1681.55005
2013-08-01,1689.42004,1709.67004,1627.46997,1632.96997,3069868600,1632.96997
2013-07-01,1609.78003,1698.78003,1604.56995,1685.72998,3270645900,1685.72998
2013-06-03,1631.70996,1654.18994,1560.32996,1606.28003,3996199000,1606.28003
2013-05-01,1597.55005,1687.18005,1581.28003,1630.73999,3661220400,1630.73999
2013-04-01,1569.18005,1597.56995,1536.03003,1597.56995,3674685000,1597.56995
2013-03-01,1514.68005,1570.28003,1501.47998,1569.18994,3591577500,1569.18994
2013-02-01,1498.10999,1530.93994,1485.01001,1514.68005,3851884200,1514.68005
2013-01-02,1426.18994,1509.93994,1426.18994,1498.10999,3802304200,1498.10999
2012-12-03,1416.33997,1448.00,1398.10999,1426.18994,3479625500,1426.18994
2012-11-01,1412.19995,1434.27002,1343.34998,1416.18005,3593110000,1416.18005
2012-10-01,1440.90002,1470.95996,1403.28003,1412.16003,3587115700,1412.16003
2012-09-04,1406.54004,1474.51001,1396.56006,1440.67004,3857553100,1440.67004
2012-08-01,1379.31995,1426.68005,1354.65002,1406.57996,3183567800,1406.57996
2012-07-02,1362.32996,1391.73999,1325.41003,1379.31995,3663113300,1379.31995
2012-06-01,1309.87,1363.45996,1266.73999,1362.16003,4103472300,1362.16003
2012-05-01,1397.85999,1415.31995,1291.97998,1310.32996,4158095900,1310.32996
2012-04-02,1408.46997,1422.38,1357.38,1397.91003,3916786000,1397.91003
2012-03-01,1365.90002,1419.15002,1340.03003,1408.46997,3980752200,1408.46997
2012-02-01,1312.44995,1378.04004,1312.44995,1365.68005,4143404000,1365.68005
2012-01-03,1258.85999,1333.46997,1258.85999,1312.41003,4190155500,1312.41003
2011-12-01,1246.91003,1269.37,1202.37,1257.59998,3667346600,1257.59998
2011-11-01,1251.00,1277.55005,1158.66003,1246.95996,4289379000,1246.95996
2011-10-03,1131.20996,1292.66003,1074.77002,1253.30005,4874946600,1253.30005
2011-09-01,1219.12,1229.29004,1114.21997,1131.42004,5104933800,1131.42004
2011-08-01,1292.58997,1307.38,1101.54004,1218.89001,4942913400,1218.89001
2011-07-01,1320.64001,1356.47998,1282.85999,1292.28003,4308168000,1292.28003
2011-06-01,1345.19995,1345.19995,1258.06995,1320.64001,4105601300,1320.64001
2011-05-02,1365.20996,1370.57996,1311.80005,1345.19995,4114534200,1345.19995
2011-04-01,1329.47998,1364.56006,1294.69995,1363.60999,4042194000,1363.60999
2011-03-01,1328.64001,1332.28003,1249.05005,1325.82996,4046691700,1325.82996
2011-02-01,1289.14001,1344.06995,1289.14001,1327.21997,3182974200,1327.21997
2011-01-03,1257.62,1302.67004,1257.62,1286.12,4816605000,1286.12
2010-12-01,1186.59998,1262.59998,1186.59998,1257.64001,3762922700,1257.64001
2010-11-01,1185.70996,1227.07996,1173.00,1180.55005,4354084200,1180.55005
2010-10-01,1143.48999,1196.14001,1131.87,1183.26001,4432102300,1183.26001
2010-09-01,1049.71997,1157.16003,1049.71997,1141.19995,3993981400,1141.19995
2010-08-02,1107.53003,1129.23999,1039.69995,1049.32996,4080773600,1049.32996
2010-07-01,1031.09998,1120.94995,1010.90997,1101.59998,4704026600,1101.59998
2010-06-01,1087.30005,1131.22998,1028.32996,1030.70996,5235174000,1030.70996
2010-05-03,1188.57996,1205.13,1040.78003,1089.41003,6626699400,1089.41003
2010-04-01,1171.22998,1219.80005,1170.68994,1186.68994,5847150900,1186.68994
2010-03-01,1105.35999,1180.68994,1105.35999,1169.43005,4702951700,1169.43005
2010-02-01,1073.89001,1112.42004,1044.50,1104.48999,4658238400,1104.48999
2010-01-04,1116.56006,1150.44995,1071.58997,1073.87,5071601500,1073.87
2009-12-01,1098.89001,1130.38,1085.89001,1115.09998,4163287200,1115.09998
2009-11-02,1036.18005,1113.68994,1029.38,1095.63,4443852500,1095.63
2009-10-01,1054.91003,1101.35999,1019.95001,1036.18994,5451064000,1036.18994
2009-09-01,1019.52002,1080.15002,991.96997,1057.07996,5633064200,1057.07996
2009-08-03,990.21997,1039.46997,978.51001,1020.62,5764944200,1020.62
2009-07-01,920.82001,996.67999,869.32001,987.47998,5080675400,987.47998
2009-06-01,923.26001,956.22998,888.85999,919.32001,5330941800,919.32001
2009-05-01,872.73999,930.16998,866.09998,919.14001,6883268000,919.14001
2009-04-01,793.59003,888.70001,783.32001,872.81,6938945600,872.81
2009-03-02,729.57001,832.97998,666.78998,797.87,7633306300,797.87
2009-02-02,823.09003,875.01001,734.52002,735.09003,7022036200,735.09003
2009-01-02,902.98999,943.84998,804.29999,825.88,5872061000,825.88
